fitness,lr0,lrf,weight_decay,cls,box,dfl,scale
0.06089,0.00225,0.10536,0.00016,0.76867,0.11764,0.78895,0.07453
0.06021,0.00212,0.12577,0.00014,0.9896,0.11024,0.76304,0.05958
0.06327,0.00241,0.10536,0.00017,0.76739,0.11666,0.77688,0.08622
0.06249,0.00218,0.10536,0.00015,0.76739,0.10268,0.76304,0.07858
0.06613,0.00224,0.1,0.00014,0.76608,0.11234,0.74679,0.08292
0.06338,0.00221,0.10536,0.00015,0.84897,0.11922,0.71473,0.0837
0.06857,0.0022,0.10536,0.00019,0.76739,0.11234,0.76187,0.07949
0.0639,0.0022,0.10611,0.00016,0.74477,0.11234,0.77154,0.07708
0.06565,0.00216,0.10456,0.00015,0.78595,0.10766,0.75902,0.07899
0.06651,0.00247,0.10295,0.00016,0.80105,0.11838,0.76304,0.07627
0.05871,0.00216,0.10536,0.00015,0.65645,0.12305,0.76304,0.07858
0.06088,0.0022,0.1,0.00016,0.65629,0.12817,0.85707,0.07858
0.07223,0.00201,0.10928,0.00015,0.8169,0.11678,0.82196,0.07545
0.14093,0.00235,0.10536,0.00015,0.75715,0.11208,0.79099,0.08322
0.04108,0.00275,0.1,0.00017,0.82607,0.13013,0.71015,0.07858
0.06682,0.00237,0.10655,0.00015,0.79502,0.11208,0.5,0.06784
0.0647,0.00235,0.10514,0.00013,0.66767,0.12441,0.5,0.078
0.06453,0.00186,0.10214,0.00015,0.80278,0.08523,0.76304,0.08476
0.06223,0.0023,0.10536,0.00016,0.82867,0.11039,0.75157,0.07858
0.09605,0.00151,0.1,0.00017,0.76739,0.10514,0.74155,0.06537
0.0574,0.00229,0.11319,0.00017,0.68658,0.14235,0.70705,0.07503
0.0521,0.00241,0.1,0.00016,0.75715,0.10307,0.69159,0.08798
0.05468,0.00283,0.1,0.00015,0.75715,0.10441,0.55093,0.09367
0.06464,0.0022,0.10594,0.00016,0.76739,0.114,0.76304,0.07858
0.06816,0.0022,0.1,0.00016,0.83376,0.11234,0.99318,0.08377
0.07187,0.00226,0.10876,0.00015,0.76739,0.09876,0.76304,0.08338
0.07391,0.00207,0.1,0.00015,0.6801,0.11234,0.85481,0.07858
0.057,0.00225,0.1022,0.00016,0.76739,0.11234,0.76304,0.07857
0.07168,0.00219,0.10508,0.00016,0.76915,0.11387,0.73237,0.07694
0.05532,0.00245,0.10887,0.00014,0.75715,0.11193,0.71665,0.08687
0.07129,0.00213,0.10323,0.00016,0.78039,0.11241,0.79433,0.0759
0.06552,0.00245,0.10833,0.00015,0.77068,0.11554,0.80233,0.08195
0.05397,0.0025,0.10243,0.00015,0.71716,0.11015,0.741,0.08301
0.06995,0.00225,0.1,0.00016,0.7445,0.10884,0.77587,0.07858
0.06372,0.00243,0.1,0.00017,0.76739,0.12119,0.76304,0.07858
0.06018,0.0022,0.10536,0.00014,0.80153,0.10451,0.75385,0.07154
0.0715,0.0022,0.11167,0.00017,0.68102,0.10661,0.74714,0.0776
0.07634,0.00222,0.10536,0.00016,0.71444,0.11029,0.76304,0.08406
0.06154,0.0022,0.10822,0.00016,0.62449,0.09751,0.7534,0.06155
0.06674,0.00237,0.10536,0.00016,0.75715,0.11208,0.79099,0.08413
0.05837,0.00222,0.10513,0.00016,0.7643,0.11349,0.76115,0.07978
0.04826,0.00325,0.10427,0.00015,0.76973,0.10272,0.83028,0.08892
0.05831,0.0022,0.10536,0.00024,0.60333,0.09554,0.76304,0.08637
0.0688,0.00216,0.10366,0.00016,0.75845,0.11339,0.74254,0.07713
0.06343,0.0024,0.1004,0.00016,0.52245,0.07104,0.76304,0.0997
0.06636,0.0023,0.1,0.00015,0.83648,0.11957,0.97428,0.07858
0.06384,0.0022,0.10536,0.00018,0.90076,0.11234,0.56916,0.07905
0.06325,0.00235,0.10536,0.00016,0.73757,0.11368,0.79099,0.08785
0.05215,0.00246,0.11756,0.00015,0.57508,0.12378,0.72845,0.10794
0.06989,0.0023,0.10536,0.00015,0.8017,0.1019,0.68911,0.09066
0.07233,0.00184,0.10536,0.00016,0.78815,0.12309,1.06024,0.07186
0.06742,0.00224,0.10536,0.00016,0.64801,0.08756,0.8807,0.07379
0.06159,0.00204,0.1,0.00016,0.7655,0.10386,0.83569,0.07252
0.06777,0.00183,0.1,0.00016,0.63184,0.10653,0.70658,0.06537
0.07042,0.00235,0.1,0.00014,0.66071,0.13249,0.79099,0.08785
0.07134,0.00242,0.10327,0.00016,0.57141,0.10554,0.76304,0.07745
0.06131,0.0024,0.10691,0.00016,0.71941,0.10266,0.85881,0.09181
0.07603,0.00222,0.10526,0.00016,0.68778,0.11911,0.76304,0.08227
0.07544,0.00144,0.10536,0.00017,0.63995,0.10444,0.76168,0.06612
0.07068,0.00239,0.12985,0.00016,0.7158,0.11234,0.76304,0.05969
0.06709,0.00202,0.11421,0.00016,0.76739,0.11234,0.75726,0.072
0.07341,0.00248,0.12149,0.00018,0.69948,0.15,0.71459,0.08085
0.08218,0.00146,0.1,0.00017,0.76739,0.10367,0.73779,0.06172
0.06226,0.00205,0.10497,0.00016,0.68402,0.11234,0.76304,0.08323
0.10369,0.00124,0.1019,0.00017,0.71748,0.11506,0.74155,0.06537
0.06143,0.00217,0.10996,0.00016,0.76065,0.12554,0.76304,0.07858
0.0627,0.0022,0.1,0.00016,0.75641,0.12453,0.75707,0.07858
0.0599,0.00231,0.10776,0.00012,0.77222,0.14121,0.91838,0.09819
0.04894,0.00249,0.11749,0.00015,0.69502,0.12847,0.80163,0.07858
0.0534,0.00244,0.10673,0.00015,0.74588,0.11421,0.76777,0.08101
0.06052,0.00266,0.10744,0.00014,0.75354,0.11208,0.72686,0.08322
0.0707,0.0022,0.10395,0.00016,0.769,0.11234,0.76315,0.07776
0.06135,0.0022,0.10237,0.00016,0.81486,0.09347,0.74478,0.07858
0.08544,0.00151,0.1,0.00017,0.80681,0.1088,0.70595,0.06847
0.05813,0.00234,0.1,0.00016,0.71059,0.1254,0.60246,0.07858
0.41272,0.0022,0.10536,0.00016,0.69196,0.11014,0.76304,0.07575
0.08097,0.00192,0.11831,0.00016,0.63479,0.11781,0.65898,0.08217
0.05847,0.0023,0.1,0.00015,0.85494,0.11234,0.78946,0.07342
0.06026,0.00216,0.1,0.00015,0.7356,0.10959,0.7329,0.08343
0.06787,0.00189,0.10536,0.00015,0.76824,0.15,0.96687,0.07575
0.05506,0.00224,0.10411,0.00016,0.69196,0.11014,0.73776,0.0727
0.05252,0.00275,0.1,0.00016,0.5,0.1051,0.82298,0.06805
0.06638,0.0022,0.11927,0.00016,0.71761,0.1347,0.84437,0.09559
0.06301,0.00224,0.10469,0.00016,0.69196,0.11107,0.74611,0.07413
0.07525,0.0022,0.10725,0.00016,0.71604,0.1101,0.79663,0.07595
0.09404,0.00215,0.1,0.00014,0.69196,0.10022,0.71428,0.06919
0.06143,0.0022,0.10536,0.00016,0.78486,0.10927,0.76959,0.0765
0.05667,0.0022,0.15022,0.0002,0.73856,0.10485,0.65532,0.09872
0.05623,0.0022,0.10866,0.00016,0.69196,0.11014,1.00625,0.07185
0.07404,0.0022,0.10457,0.00016,0.77887,0.11234,0.76681,0.07782
0.04448,0.0022,0.1056,0.00016,0.69234,0.11061,0.76416,0.07586
0.06972,0.00219,0.11326,0.00014,0.66366,0.11014,0.81613,0.07333
0.06326,0.00257,0.10535,0.0002,0.69196,0.11014,0.66474,0.08079
0.06808,0.00261,0.13501,0.0002,0.77643,0.14742,0.86364,0.08016
0.06882,0.0022,0.11239,0.00018,0.80026,0.10905,0.89804,0.07575
0.12934,0.00217,0.10432,0.00016,0.70653,0.10531,0.74382,0.07627
0.14286,0.00223,0.11795,0.00013,0.84405,0.11234,0.69149,0.06681
0.05788,0.00276,0.10536,0.00014,0.78397,0.10599,0.76304,0.08565
0.0848,0.00205,0.10419,0.00016,0.70105,0.11251,0.73061,0.06989
0.07243,0.00218,0.10699,0.00016,0.6623,0.11031,0.75532,0.07746
0.06033,0.00219,0.11046,0.00014,0.67256,0.09499,0.76304,0.08238
0.05762,0.0022,0.10536,0.00014,0.85536,0.11014,0.66087,0.07436
0.06695,0.00183,0.10428,0.00016,0.84988,0.11153,0.83472,0.08239
0.06182,0.00213,0.12182,0.00016,0.69196,0.10398,0.76304,0.07322
0.06632,0.00224,0.10626,0.00015,0.65838,0.11236,0.76304,0.0739
0.05653,0.00231,0.11916,0.00013,0.84405,0.10274,0.63405,0.06681
0.06334,0.00219,0.10467,0.00016,0.75583,0.10834,0.76304,0.07922
0.05556,0.0025,0.11209,0.00016,0.66299,0.09951,0.72138,0.07575
0.06425,0.00222,0.14052,0.00015,0.82037,0.09666,0.86846,0.04096
0.14093,0.0022,0.1,0.00016,0.5,0.12912,0.98508,0.0623
0.063,0.0022,0.10536,0.00017,0.59728,0.12137,0.76304,0.07842
0.07174,0.0018,0.1304,0.00012,0.61181,0.13526,0.60723,0.06952
0.07813,0.00259,0.10536,0.00018,0.58112,0.11014,0.6906,0.07575
0.06473,0.0022,0.10543,0.00016,0.71136,0.10849,0.75438,0.07515
0.07866,0.00279,0.13166,0.00018,0.80127,0.11085,0.77991,0.09072
0.07253,0.0022,0.10675,0.00016,0.69196,0.11291,0.76304,0.07894
0.06571,0.00224,0.1,0.00017,0.69196,0.11014,0.62013,0.03284
0.0662,0.00256,0.1,0.0002,0.74456,0.11374,0.76304,0.0534
0.15537,0.0022,0.10886,0.00015,0.69196,0.12112,0.77314,0.07575
