,precision,recall,f1-score,support
non-fractured,1.0,0.40365448504983387,0.5751479289940828,602.0
fractured,0.0,0.0,0.0,0.0
accuracy,0.40365448504983387,0.40365448504983387,0.40365448504983387,0.40365448504983387
macro avg,0.5,0.20182724252491693,0.2875739644970414,602.0
weighted avg,1.0,0.40365448504983387,0.5751479289940828,602.0
